X,Y,Z,Porosity,Permeability,Sequence
27250,59250,-710,43.52852455,3.42E-15,o1
27250,59250,-690,37.37797249,9.09E-16,o1
27250,59250,-670,36.52009656,7.56E-16,o1
27250,59250,-650,39.05448845,1.30E-15,o1
27250,59250,-630,29.8416383,1.80E-16,o1
27250,59250,-610,48.854605,1.07E-14,m6
27250,59250,-590,42.53521356,2.76E-15,m6
27250,59250,-570,47.44414074,7.93E-15,m58
27250,59250,-550,42.13616704,2.53E-15,m58
27250,59250,-530,39.89197609,1.56E-15,m58
27250,59250,-510,41.71550158,2.31E-15,m58
27250,59250,-490,54.13914887,3.35E-14,m58
27250,59250,-470,45.51802162,5.24E-15,m58
27250,59250,-450,38.20896765,1.09E-15,m58
27250,59250,-430,38.63663389,1.19E-15,m58
27250,59250,-410,39.43094675,1.41E-15,m58
27250,59250,-390,43.21431139,3.19E-15,m58
27250,59250,-370,70.22983364,1.07E-12,m54
27250,59250,-350,46.78894966,6.89E-15,m54
27250,59250,-330,42.79838316,2.92E-15,m54
27250,59250,-310,47.04440016,7.28E-15,m54
27250,59250,-290,57.82363335,7.41E-14,m54
27250,59250,-270,43.72782339,3.57E-15,m5
27250,59250,-250,47.88637302,8.73E-15,m41
27250,59250,-230,41.86313888,2.39E-15,m41
27250,59250,-210,38.21402511,1.09E-15,m41
27250,59250,-190,38.08693581,1.06E-15,m41
27250,59250,-170,30.22582997,1.95E-16,m41
27250,59250,-150,34.32083831,4.71E-16,m41
27250,59250,-130,30.73855217,2.18E-16,m41
27250,59250,-110,36.45390505,7.45E-16,m1
27250,59250,-90,35.23746156,5.74E-16,m1
27250,59250,-70,47.49024076,8.01E-15,m1
27250,59250,-50,38.36938399,1.13E-15,m1
